model,R2,RMSE,MAE
Random Forest,0.9942,0.115191,0.051986
XGBoost,0.9973,0.079015,0.039239
Gradient Boosting,0.9987,0.05371,0.024718
SVR,0.8558,0.575345,0.398402
LSTM,-0.1584,1.67986,1.459671
Neural Network,0.9685,0.268817,0.20833
Random Forest,0.8898,0.405905,0.214263
XGBoost,0.8704,0.440317,0.25893
Gradient Boosting,0.872,0.437431,0.254923
SVR,0.2656,1.047972,0.815555
LSTM,-0.193,1.332047,0.948781
Neural Network,0.8271,0.508463,0.383183
Random Forest,0.9855,0.118175,0.066172
XGBoost,0.9841,0.124101,0.069639
Gradient Boosting,0.9918,0.089051,0.053553
SVR,0.8702,0.354141,0.274331
LSTM,0.31,0.858518,0.724331
Neural Network,0.6969,0.541186,0.452479
