Experiment,Model,R2,RMSE,MAE,Train_Rows,Test_Rows
Exp 1 — Price + News,Random Forest,0.9942,0.115191,0.051986,604,151
Exp 1 — Price + News,XGBoost,0.9973,0.079015,0.039239,604,151
Exp 1 — Price + News,Gradient Boosting,0.9987,0.05371,0.024718,604,151
Exp 1 — Price + News,SVR,0.8558,0.575345,0.398402,604,151
Exp 1 — Price + News,LSTM,-0.1584,1.67986,1.459671,604,141
Exp 1 — Price + News,Neural Network,0.9685,0.268817,0.20833,604,151
Exp 2 — Price + Tweets,Random Forest,0.8898,0.405905,0.214263,686,172
Exp 2 — Price + Tweets,XGBoost,0.8704,0.440317,0.25893,686,172
Exp 2 — Price + Tweets,Gradient Boosting,0.872,0.437431,0.254923,686,172
Exp 2 — Price + Tweets,SVR,0.2656,1.047972,0.815555,686,172
Exp 2 — Price + Tweets,LSTM,-0.193,1.332047,0.948781,686,162
Exp 2 — Price + Tweets,Neural Network,0.8271,0.508463,0.383183,686,172
Exp 3 — Price + Tweets + News,Random Forest,0.9855,0.118175,0.066172,343,86
Exp 3 — Price + Tweets + News,XGBoost,0.9841,0.124101,0.069639,343,86
Exp 3 — Price + Tweets + News,Gradient Boosting,0.9918,0.089051,0.053553,343,86
Exp 3 — Price + Tweets + News,SVR,0.8702,0.354141,0.274331,343,86
Exp 3 — Price + Tweets + News,LSTM,0.31,0.858518,0.724331,343,76
Exp 3 — Price + Tweets + News,Neural Network,0.6969,0.541186,0.452479,343,86
